Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"23rd November, 2020",Khurarianwala,Punjab,Raped at gunpoint,Rape,,Female,,,,,https://tribune.com.pk/story/2273330/woman-boy-sexually-assaulted,,,
"23rd November, 2020",Khurarianwala,Punjab,A minor boy was on his way to a shop to buy grocery when the accused and four others kidnapped him and took him to their place. The accused allegedly raped him and also made a video on their mobile phone.,"Child abuse, rape, non-consensual filming",12,Male,,,,,https://tribune.com.pk/story/2273330/woman-boy-sexually-assaulted,,,
"24th November, 2020",Lahore,Punjab,"A woman allegedly raped by 4 people, blackmailed her for 6 months","Gang rape, Blackmailing, Non-consensual filming",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-24/MDYxN2U1OTRmYWMyN2Q3MmY1NzA3YTBmYjFkZDBmNzAuanBlZw%3D%3D,,,
"25th November, 2020",Toba Tek Singh,Punjab,An education department team caught two male teachers red-handed when they were molesting a minor girl student in a school at Pirmahal and handed them over to police.,Child abuse,"Unknown, but minor",Female,,,,,https://www.dawn.com/news/1592381/two-teachers-held-for-molesting-girl-student,,,
"26th November, 2020",Lodhran,Punjab,A woman accused her father of killing her infant child to punish her for marring by choice,"Child abuse, murder",(less than) 1,Male,,,,,https://www.thenews.com.pk/latest/749658-lodhran-man-allegedly-kills-grandson-in-cold-blood-to-punish-daughter,,,
"26th November, 2020",Lahore,Punjab,Husband held for doemstic dispute,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-27/M2ZlZTk4MjY4NTlmNGExZDhlYWMwMjc1N2Y5MDgxYmMuanBlZw%3D%3D,,,
"26th November, 2020",Lahore,Punjab,Two sisters kidnapped and murder,"Murder, kidnapping","26, 28",Female,Female,,,,https://tribune.com.pk/story/2278979/two-suspects-held-in-womens-murder-case,,,
"27th November, 2020",Faislabad,Punjab,Man jailed for life for raping nieces,Rape,,Female,Female,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-27/OGVkYTNiMDMwMGJmNmE4YTA5YjUyODk0NmMwODI3ZmYuanBlZw%3D%3D,,,
"27th November, 2020",Khurarianwala,Punjab,"The complainant, a resident of Chak No 214, Rab Dhadiwala, said she was working in other people's homes as domestic help. Teh accused lured her by offering her a job and decent salary in a private school as well as free accommodation. The accused allegedly took her to the fish farm where they kept her in a room. Meanwhile, the accused Abdul Karim and Ahmed allegedly sexually assaulted her. They also filmed the incident.","Gang rape, non-consensual filming",,Female,,,,,https://tribune.com.pk/story/2273864/tree-sexually-assaulted-in-city,,,
"27th November, 2020",Khurarianwala,Punjab,"The accused sexually abused a woman, a resident of Bilal Town, Jaranwala Road, on the pretext of giving her a job. During this time, the accused was also making a video on which the police took action under Section 376.","Rape, non-consensual filming",,Female,,,,,https://tribune.com.pk/story/2273864/tree-sexually-assaulted-in-city,,,
"27th November, 2020",Khurarianwala,Punjab,"The alleged rapist identified assaulted a 14-yearold boy in Siddique Nagar, Batala Colony.","Child abuse, rape",14,Male,,,,,https://tribune.com.pk/story/2273864/tree-sexually-assaulted-in-city,,,
"28th November, 2020",Sahiwal,Punjab,"10-year-old girl was allegedly abducted and murdered in Chak No 711L, on the outskirts of Harappa","Abduction, murder",10,Female,,,,,https://tribune.com.pk/story/2273942/minor-girl-abducted-killed-in-sahiwal,,,
"29th November, 2020",Karachi,Sindh,Woman shot dead by son,"Murder, Domestic violence",48,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-01/NjUzZTcwYjEwMTZkYzdlMGI3M2I5MTE0NzNmOWJkNmEuanBlZw%3D%3D,,,
"29th November, 2020",Tandlianwala,Punjab,Three brothers kidnapped a woman and one of them allegedly sexually assaulted her ,Rape,,Female,,,,,https://tribune.com.pk/story/2274047/woman-sexually-assaulted-in-tandlianwala,,,
"29th November, 2020",Kasur,Punjab,The suspect took the minor boy to a deserted place on the pretext of giving him a pair of pigeons and allegedly raped him.,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1593199/man-held-for-raping-child,,,
"29th November, 2020",Sahiwal,Punjab,"A minor girl, whose body was found dumped near a house on the outskirts of Harappa, was allegedly murdered by her relatives.",Murder,"Unknown, but minor",Female,,,,,https://tribune.com.pk/story/2274045/child-killers-turn-out-to-be-relatives; https://www.dawn.com/news/1593196/missing-minor-girls-body-found-in-sack,,,
"30th November, 2020",Sargodha,Punjab,Women killed by husband,"Murder, Domestic violence",28,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-01/ZDNmNTQwY2ZjMjg1ZWFhNTY2Y2QyMWIzYjFmN2Y4MjMuanBlZw%3D%3D,,,
"1st December, 2020",Jaranwala,Punjab,An alleged eve-teaser shot dead a man for reportedly warning the suspect to desist from teasing his sister.,Murder,23,Male,,,,,https://tribune.com.pk/story/2274285/eve-teaser-kills-man-for-protecting-sister,,,
"1st December, 2020",Jaranwala,Punjab,A married woman was gunned down at her home by a guest,,20,Female,,,,,https://tribune.com.pk/story/2274285/eve-teaser-kills-man-for-protecting-sister,,,
"2nd December, 2020",Dijkot,Punjab,Police registered a case against four accused and arrested three of them for abducting and raping a 14-year-old boy in Faizabad,"Child abuse, rape, abduction, non-consensual filming",14,Male,,,,,https://tribune.com.pk/story/2274288/four-booked-for-raping-teenage-boy,,,
"2nd December, 2020",Lahore,Punjab,Man was shot dead by boyfriend and accoplices in name of honour after a girl complained of harassment by the deceased.,"Honour killing, murder",,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-03/MzdhZDI1MTY5NGU5N2IwMTk3YmM0YWQ2N2NhNTcyYzAuanBlZw%3D%3D,,,
"2nd December, 2020",Muzzafargharh,Punjab,Man shot and injured sister outside of court after she refused to reconcile with her rapist,Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-03/ODA0ZGQ4NWMwMTE3MDdlZGE2OTczZWViYmZmZmNlMTkuanBlZw%3D%3D,,,
"2nd December, 2020",Faislabad,Punjab,Kidnapped girl found dead in fields,"Murder, kidnapping",,Female,,,,,https://www.dawn.com/news/1593724/kidnapped-girl-found-dead-in-fields,,,
"2nd December, 2020",Rawalpindi,Punjab,A woman was allegedly raped by two persons in her house in Chontra police area. men entered her house forcibly and one of them overpowered her husband and took him into a room while the other dragged her to an adjacent room where he raped her.,Rape,,Female,,,,,https://www.dawn.com/news/1593822/woman-allegedly-raped,,,
"3rd December, 2020",Lahore,Punjab,"A man tortured his mother. the accused, who was a drug addict, tortured his mother, Shahnaz Bibi. He shaved her head, broke her arms and attacked her with a chaff cutter.",Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/752866-addict-tortures-mother,,,
"4th December, 2020",Layyah,Punjab,"Woman alleges her family raped for nine months in Punjab's Choubara tehsil. Her two daughters, a daughter-in-law and she herself were held captive for nine months and raped by nine people.",Rape,,Female,Female,Female,Female,,https://www.dawn.com/news/1593861/woman-alleges-her-family-raped-for-nine-months-in-punjabs-choubara-tehsil,,,
"6th December, 2020",Lahore,Punjab,Minor killd after being raped,"Child abuse, rape, murder",7,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-07/YjM5Nzk2MDM0N2NkMTI1NDU5NTlhYzI2N2IwNjVjMmEuanBlZw%3D%3D; https://www.thenews.com.pk/print/754762-seven-year-old-boy-raped-murdered; https://www.dawn.com/news/1594416/minor-killed-after-sexual-assault,,,
"6th December, 2020",Tandlianwala,Punjab,Attempted rape of minor reported,"Child abuse, attempted rape",10,Male,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-07/ZTc4YjkwZTA5NzYzMGU1MWVmZTk3ODQ1NzA3MDU1ZTQuanBlZw%3D%3D,,,
"6th December, 2020",Peshawar,KP,A trans person was kidnapped and sexually assaulted by armed men near Chamkani.,"Sexual assault, kidnapping",,Transgender,,,,,https://www.thenews.com.pk/print/754874-transgender-sexually-assaulted,,,
"6th December, 2020",Larkana,Punjab,Two girls alleged gang raped and family was blackmailed,"Gang rape, blackmailing",,Female,,,,,https://www.dawn.com/news/1594722/suspects-booked-after-two-girls-allege-gang-rape-in-larkana,,,
"7th December, 2020",Khurarianwala,Punjab,Woman arrested for beating minor housemaid,"Child abuse, assault",11,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-08/MWVmMjEwODk1Yzc3MzZmMzkxMmU2ZjQ3NzQwNjExZDguanBlZw%3D%3D,,,
"7th December, 2020",Islamamabad,Islamabad,Bikers booked for harassing pedestarian woman,Harassment,,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2020-12-08/YzMxMjVhOWY5MzYyMzM1MmEyMDUyMmY0MzI3YWU3MTEuanBlZw%3D%3D,,,
"7th December, 2020",Islamamabad,Islamabad,The Homicide Unit of Islamabad Police (Margalla Circle) arrested a person allegedly involved in killing his wife,"Domestic violence, murder",33,Female,,,,,https://www.thenews.com.pk/print/755216-man-held-for-killing-wife,,,
"7th December, 2020",Sanghar,Sindh,A man was arrested for allegedly subjecting an eight-year-old girl to rap,"Child abuse, rape",8,Female,,,,,https://www.dawn.com/news/1594588/suspect-held-for-allegedly-raping-minor-girl,,,
"7th December, 2020",Larkana,Sindh,Woman commits suicide over ‘domestic violence’,"Domestic violence, suicide",,Female,,,,,https://www.dawn.com/news/1594591/mother-of-two-kills-herself-over-domestic-violence,,,
"7th December, 2020",Thikriwala,Punjab,A young man was sexually assaulted by three people after he was made to drink a bottle of intoxicated soft drink.,"Child abuse, gang rape",17,Male,,,,,https://tribune.com.pk/story/2275087/teenage-boy-gang-raped-in-thikriwala,,,
"7th December, 2020",Rawalpindi,Punjab,A woman was allegedly sexually assaulted by two persons at gunpoint. She was on her way back form work when the wagon driver took her to a deserted place near Ahri Syedan where a masked man was already present.,Rape,,Female,,,,,https://www.dawn.com/news/1595114/woman-allegedly-raped-at-gunpoint,,,
"7th December, 2020",Rawalpindi,Punjab,A woman was shot dead allegedly by her husband over a domestic dispute,"Domestic violence, murder",31,Female,,,,,https://www.dawn.com/news/1595114/woman-allegedly-raped-at-gunpoint,,,
"8th December, 2020",Khurarianwala,Punjab,A man who was a guest at a house in Sheikhupura Road allegedly strangled a married woman to death over a minor altercation and fled.,Murder,40,Female,,,,,https://tribune.com.pk/story/2275210/man-strangles-woman-to-death,,,
"8th December, 2020",Rawalpindi,Punjab,A woman was allegedly gunned down by her husband over property dispute,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1594885/man-kills-wife-over-property-issue,,,
"9th December, 2020",Layyah,Punjab,An 11-year-old boy was allegedly kidnapped and then subjected to sexual assault ,"Child abuse, rape",11,Male,,,,,https://www.geo.tv/latest/323247-11-year-old-kidnapped-subjected-to-sexual-assault-in-layyah-police,,,
"9th December, 2020",Wah Cantt,Punjab,Man accused of killing daughters and wife,"Domestic violence, murder","7,13",Female,Female,Female,,,https://www.dawn.com/news/1594758/man-shoots-dead-wife-daughters-in-wah; https://tribune.com.pk/epaper/news/Karachi/2020-12-10/ZGFhMzNhYmRlY2E3ZDY0NDFlMTk1NmZmZDdkYzgzODYuanBlZw%3D%3D,,,
"11th December, 2020",Jamshoro,Sindh,Man kills wife for honour,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-12/NTVhZjcyMmI4MjhkMDY4MTBhYTE2MWNiNzI3NzMwZDkuanBlZw%3D%3D,,,
"11th December, 2020",Peshawar,KP,A man allegedly lured a boy with promises of a job but instead detained him and sexually abused him for days.,"Child abuse, rape",11,Male,,,,,https://tribune.com.pk/story/2275514/boy-promised-job-but-raped-for-days,,,
"12th December, 2020",Lahore,Punjab,14-year-old boy rapes minor child in Karachi,"Child abuse, rape",2,Male,,,,,https://arynews.tv/en/14-year-old-boy-rapes-minor-child-karachi/,,,
"12th December, 2020",Rawalpindi,Punjab,Woman shot dead by husband,"Domestic Violence, Murder",16,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-12/MzYyODliYTYyNjY1MGNlODY0OWU2MmE2NGVlMGY0MjQuanBlZw%3D%3D,,,
"12th December, 2020",Attock,Punjab,Three suspects were arrested for allegedly raping an 11-year-old girl in Pindigheb town of Attock,"Child abuse, rape",11,Female,,,,,https://www.dawn.com/news/1595576/three-arrested-for-assaulting-girl,,,
"12th December, 2020",Multan,Punjab,"The FIA arrested a man for harassing a woman, and her family. He, on promise of contracting marriage, took objectionable pictures of a young girl.","Online harassment, non-consensual filming",,Female,,,,,https://tribune.com.pk/story/2275737/man-arrested-for-harassing-girl,,,
"12th December, 2020",Chak Jhumra,Punjab,A constable's son was allegedly raped by four people after being abducted. 12-year-old boy was going to buy jalebi sweets when the accused persons kidnapped him at gunpoint and raped him.,"Child abuse, kidnapping, rape",12,Male,,,,,https://tribune.com.pk/story/2275734/minor-boy-allegedly-gang-raped,,,
"12th December, 2020",Chak Jhumra,Punjab,"A minor boy was lured and taken by the accused to his residence and tried to rape him. However, the victim made noise and foiled the attempt.","Child abuse, attempted rape","Unknown, but minor",Male,,,,,https://tribune.com.pk/story/2275734/minor-boy-allegedly-gang-raped,,,
"13th December, 2020",Jhang,Punjab,Woman raped by rickshaw driver,Rape,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-16/ODYwNGFiZDFmNmUxYjUzY2M0YzhiYTA0MDlkZGM3ODMuanBlZw%3D%3D,,,
"13th December, 2020",Bhawalpur,Punjab,"12-year-old girl had gone to a nearby shop. On her way to the shop, she was allegedly kidnapped by his neighbour who took her to an abandoned house and attempted to rape her.","Child abuse, attempted rape",12,Female,,,,,https://www.dawn.com/news/1595599/man-arrested-for-rape-bid-on-minor-girl,,,
"13th December, 2020",Faisalabad,Punjab,"A man allegedly shot and killed his sister in the name of honour. Police said the accused had certain suspicions over his sister’s character due to which he, in a fit of rage, murdered her.","Honour killing, murder",30,Female,,,,,https://tribune.com.pk/story/2275830/man-kills-sister-to-save-family-honour,,,
"13th December, 2020",Sheikhupura,Punjab,A woman allegedly poisoned her young niece after the victim’s father refused to marry her to the suspect’s son,Murder,,Female,,,,,https://www.dawn.com/news/1595606/woman-poisons-niece-to-death,,,
"13th December, 2020",Rawalpindi,Punjab,"A constable raped a woman at his residence, he was arrested on Decemeber 18, 2020","Rape, harassment",,Female,,,,,https://www.dawn.com/news/1596529/policeman-arrested-in-rape-case; https://tribune.com.pk/story/2276521/constable-arrested-for-allegedly-raping-woman,,,
"14th December, 2020",Toba Tek Singh,Punjab,Girl was kidnapped by the suspect from a street. He took her forcibly to a deserted house where he raped her at gunpoint.,"Child abuse, rape",13,Female,,,,,https://www.dawn.com/news/1595749/two-suspects-held-in-rape-cases,,,
"14th December, 2020",Toba Tek Singh,Punjab,"The suspect had taken a girl to a room adjacent to the shop and attempted to rape her. However, the girl raised an alarm and the suspect managed to flee.","Child abuse, attempted rape",6,Female,,,,,https://www.dawn.com/news/1595749/two-suspects-held-in-rape-cases,,,
"14th December, 2020",Taxila,Punjab,A boy was taken to the third floor of an under construction plaza and sexually assaulted.,"Child abuse, sexual assault",15,Male,,,,,https://www.dawn.com/news/1595809/man-held-for-sexually-assaulting-boy,,,
"15th December, 2020",Karachi ,Sindh,Transgender person found dead,Murder,,Transgender,,,,,https://www.thenews.com.pk/print/759189-transgender-person-found-dead,,,
"15th December, 2020",Muzaffargarh,Punjab,Woman sets herself on fire after husband contracts second marriage ,Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-16/OTZmNzE2NjdlZDY1NzY1M2YyZDk4N2NlYmNiYTNlMDEuanBlZw%3D%3D,,,
"15th December, 2020",Dijkot,Punjab,"School teacher drugged, sexually harassed and blackmailed by school owner and two others","Harassment, blackmail, non-consensual filming",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-16/ODYwNGFiZDFmNmUxYjUzY2M0YzhiYTA0MDlkZGM3ODMuanBlZw%3D%3D,,,
"16th December, 2020",Khairpur,Sindh,Jirga orders marriage of minor as a form of punishment for her father for eloping for second marriage,"Child abuse, underage marriage",6,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2020-12-18/ZDc5ZmIxYmY2ZGNjZmNjZjUwYzg4OWEzMWNmMzc5NWYuanBlZw%3D%3D,,,
"17th December, 2020",Sahiwal,Punjab,Woman axed to death by husband,"Honour killing, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-18/MTVkNDY1ZDg5NWMyMWEwMWQyNDYxY2M1MDg2Njk4MjEuanBlZw%3D%3D,,,
"17th December, 2020",Sahiwal,Punjab,"Police arrest two men for raping, filming and blackmailing two boys for years","Rape, blackmail, non-consensual filming","16, 20",Male,Male,,,,https://www.dawn.com/news/1596362/two-held-for-raping-youths,,,
"18th December, 2020",Karachi,Sindh,Man arrested for raping a minor,"Child abuse, rape",10,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-19/MmJiOTYyY2MxNDk1ZmQ5ZDY4YzE4NTZkNWM3NTVhNjMuanBlZw%3D%3D; https://www.dawn.com/news/1596494/alleged-child-rapist-held-in-surjani,,,
"18th December, 2020",Rawalpindi,Punjab,"Husband, in-laws accused of physically torturing woman",Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2020-12-19/MDU4NmE5OWE4YzQ1NGIwMzlmZWEyZWQzODczM2MwZjMuanBlZw%3D%3D,,,
"18th December, 2020",Dijkot,Punjab,A man allegedly raped a minor boy after giving him narcotic pills.,"Child abuse, rape",12,Male,,,,,https://tribune.com.pk/story/2276546/minor-boy-raped-in-dijkot,,,
"19th December, 2020",Shikarpur,Sindh,"Boy, girl killed over karo kari",Murder,,Male,Female,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-20/MDFiZGViNmI4ZGQ4NjM4OGU2N2UxM2M3ODhhNmYyOGQuanBlZw%3D%3D,,,
"19th December, 2020",Karachi,Sindh,Police arrest two 16 year old men accused of raping a minor boy,"Child abuse, rape",11,Male,,,,,https://arynews.tv/en/police-arrest-two-rapists-in-karachi/,,,
"19th December, 2020",Shikarpur,Sindh,A man allegedly shot dead his wife and an 18 year old on suspicion of illicit relations between them,"Honour killing, murder, domestic violence","20, 18",Female,Male,,,,https://www.dawn.com/news/1596687/man-kills-wife-youth-for-honour,,,
"20th December, 2020",Peshawar,KP,A man allegedly axed his wife to death and left his daughter seriously injured in an attack apparently in the name of honour in the Dir Colony area on the outskirts of Peshawar.,"Domestic violence, honour killing, murder",,Female,Female,,,,https://tribune.com.pk/story/2276712/afghan-refugee-axes-wife-in-dir-colony,,,
"20th December, 2020",Lodhran,Punjab,The police arrested a man in connection with the rape of a child when he was returning home from field.,"Child abuse, rape",7,Female,,,,,https://www.dawn.com/news/1597011/seven-year-old-boy-raped,,,
"20th December, 2020",Dijkot,Punjab,A man allegedly shot dead his sister in the name of ‘honour’ ,"Honour killing, murder, domestic violence",35,Female,,,,,https://tribune.com.pk/story/2276748/woman-killed-in-the-name-of-honour-in-dijkot,,,
"21st December, 2020",Islamamabad,Islamabad,A woman was allegedly stabbed to death by her brother over a money dispute,"Domestic violence, Murder",29,Female,,,,,https://www.dawn.com/news/1597119/man-stabs-sister-to-death,,,
"21st December, 2020",Lahore,Punjab,A man allegedly killed his second wife and her two children over family disputes,"Honour killing, murder","40, 16, 14",Male,Female,Female,,,https://www.dawn.com/news/1597070/man-kills-second-wife-her-two-children-over-domestic-row,,,
"24th Decemeber, 2020",Chunian,Punjab,"Transgender dancer gang-raped for three days, tortured","Gang rape, torture, non-consensual filming",,Transgender,,,,,https://tribune.com.pk/story/2277149/transgender-dancer-gang-raped-for-three-days-tortured-in-shocking-viral-video; https://www.thenews.com.pk/print/764330-man-arrested-for-torturing-transgender,,,
"24th Decemeber, 2020",Muzaffargarh,Punjab,"Two men, who barged into a house and raped a woman at gunpoint, were arrested by the police",Rape,,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-25/YjNkNzEwNTE5YjlmY2EyMDViYWNjYjFkMDc0NjdmYjIuanBlZw%3D%3D,,,
"24th Decemeber, 2020",Chitral,KP,"The Chitral police have arrested seven persons, including the bridegroom, the nikah khwan and five witnesses over the marriage of an 11-year-old girl with a man of 35.","Child abuse, child marriage",11,Female,,,,,https://www.dawn.com/news/1597475/seven-held-over-child-marriage-in-chitral,,,
"24th Decemeber, 2020",Khurarianwala,Punjab,A man killed his sister following an argument over a domestic issue at her residence,"Domestic violence, murder",,,,,,,https://tribune.com.pk/story/2277321/man-murders-sister-in-front-of-her-kids,,,
"25th Decemeber, 2020",Murree,Punjab,"Woman beaten, humiliated in Murree","Harassment, physical violence, non-consensual filming",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-12-26/NDgzZDFlZTViYzhhNjkwMWQ2Y2M1ZmM5YmU5ZTQ2NjQuanBlZw%3D%3D,,,
"25th Decemeber, 2020",Jaranwala,Punjab,A woman was raped at gunpoint after she was trapped by her relative to join her for a shopping visit to a nearby market.,Rape,,Female,,,,,https://tribune.com.pk/story/2277473/woman-minor-sexually-assaulted,,,
"25th Decemeber, 2020",Jaranwala,Punjab,An 11-year-old boy employed at a popular café on Satiana Road was allegedly molested by two other workers.,Rape,11,Male,,,,,https://tribune.com.pk/story/2277473/woman-minor-sexually-assaulted,,,
"25th Decemeber, 2020",Kohat,KP,A young man and a girl were killed in name of honour over an alleged relationsip,"Honour killing, murder, domestic violence",,"Male, Female",,,,,https://www.dawn.com/news/1597812/young-man-girl-killed-for-honour-in-kohat,,,
"26th Decemeber, 2020",Kasur,Punjab,The police arrested a serial rapist who had confessed to raping minor girls of Sarai Mughal village. There were five incidents including three of attempted rape. According to another report there were 6 incidents.,"Child abuse, rape, attempted rape","Unknown, but minor",Female,Female,Female,Female,Female,https://www.dawn.com/news/1598042/alleged-rapist-held; https://tribune.com.pk/story/2277575/serial-rapist-arrested-in-pattoki;https://www.dawn.com/news/1598209/rape-suspect-in-kasur-turns-out-to-be-habitual-offender,,,
"27th Decemeber, 2020",Karachi,Sindh,Police arrest man for ‘suffocating wife to death’,"Domestic violence, murder",26,Female,,,,,https://tribune.com.pk/story/2277680/police-arrest-man-for-suffocating-wife-to-death,,,
"28th Decemeber, 2020",Bahawalpur,Punjab,Woman killed by husband,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1598211/woman-killed-by-husband,,,
"28th Decemeber, 2020",Lahore,Punjab,A teenage boy confessed in police custody to have committed necrophilia after murdering his seven-year-old cousin at a village in Mohlanwal area and then dumped her body in a pond.,"Child abuse, murder, rape",7,Female,,,,,https://www.dawn.com/news/1598413/teenager-commits-necrophilia-after-strangling-minor-cousin-in-lahore; https://tribune.com.pk/story/2277788/minor-girl-molested-after-murder ,,,
"28th Decemeber, 2020",Dijkot,Punjab,"Man sexually assaults, stabs and injures boy","Child abuse, attempted rape, assault",8,Male,,,,,https://tribune.com.pk/story/2277793/man-sexually-assaults-stabs-boy,,,
"28th Decemeber, 2020",Lahore,Punjab,Minor girl raped as father was robbed on motorcycle,"Child abuse, rape, robbery","Unknown, but minor",Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-09/NDAyNzNjYzkyZTU5NTM0ZjYwYWI4MTZlMDlkYTQxNTIuanBlZw%3D%3D,,,
"29th Decemeber, 2020",Dijkot,Punjab,Woman raped during robbery,"Rape, robbery",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-12-30/Zjg1MjY4ODBhNzYwZGVhOWUwZTk5MjIwOGFlMjY3NWIuanBlZw%3D%3D,,,
"29th Decemeber, 2020",Nawabshah,Sindh,"A woman was axed to death by her son in Sakrand in the name of ""honour"".","Domestic violence, honour killing, murder",45,Female,,,,,https://www.dawn.com/news/1598592/man-axes-mother-to-death,,,
"29th Decemeber, 2020",Faislabad,Punjab,Woman raped during house robbery,"Rape, robbery",,Female,,,,,https://www.dawn.com/news/1598547/woman-raped-during-house-robbery,,,
"29th Decemeber, 2020",Sheikhupura,Punjab,Bride gang-raped in front of in-laws in Sheikhupura,"Gang rape, robbery",,Female,,,,,https://www.dawn.com/news/1598534/bride-gang-raped-in-front-of-in-laws-in-sheikhupura; https://www.dawn.com/news/1600497/three-wanted-in-gang-rape-case-arrested-in-sheikhupura,,,
"29th Decemeber, 2020",Khurrianwala,Punjab,A newlywed woman was poisoned at gunpoint by a man who had a history of harassing her,Murder,21,Female,,,,,https://tribune.com.pk/story/2277924/jilted-lover-poisons-woman-to-death,,,
"31th Decemeber, 2020",Karachi,Sindh,A teenage girl was murdered allegedly by her father at their house,"Honour killing, murder",19,Female,,,,,https://www.thenews.com.pk/print/767292-teenage-girl-killed-by-father-in-manghopir,,,
"31th Decemeber, 2020",Hyderabad,Sindh,Man shoots wife for 'honour',"Honour killing, murder",30,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-01/MTU1MTJjODNjOWFjNTc4MzgzNGVkMWExMjBjZTVkOWMuanBlZw%3D%3D,,,
"1st January, 2021",Karachi,Sindh,FIA arrested a religious teacher for allegedly sexually abusing a minor girl.,"Blackmailing, non-consensual filming","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/767777-fia-arrests-qari-for-blackmailing-family-with-obscene-pictures; https://www.dawn.com/news/1599296,Yes,https://www.thenews.com.pk/print/795285-qari-who-molested-girl-blackmailed-mother-denied-bail,
"1st January, 2021",Dijkot,Punjab,Minor boy ‘sexually assaulted’ in Dijkot after giving in narcotic pills,"Child abuse, rape",12,Male,,,,,https://tribune.com.pk/story/2278350/minor-boy-sexually-assaulted-in-dijkot,,,
"2nd January, 2021",Nawabshah,Sindh,A couple that had contracted a free-will marriage about two years ago was axed to death by unknown assailants at their home in Bandhi town of Shaheed Benazirabad district,"Honour killing, murder",,Male,Female,,,,https://www.dawn.com/news/1599282/free-will-couple-axed-to-death,,,
"3rd January, 2021",Lakki Marwat,KP,A man killed his wife and her alleged paramour in Tarkhoba Bodinkhel locality of Bannu district,"Domestic violene, honour killing, murder",,Male,Female,,,,https://www.dawn.com/news/1599574/man-kills-wife-her-alleged-paramour-in-bannu,,,
"3rd January, 2021",Rawalpindi,Punjab,Woman beaten by ex-brother in law for meeting children,Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-03/MmY4M2FmZWEyZTE1NWIyMmE5Y2MwNzA2NjExZGNhNmYuanBlZw%3D%3D,,,
"3rd January, 2021",Kohat,KP,Brother-in-law and son held for killing a woman and dumping her body in a water channel,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/773430-man-son-held-for-killing-woman,Yes,https://www.thenews.com.pk/print/773430-man-son-held-for-killing-woman,
"4th January, 2021",Rawalpindi,Punjab,A woman was found hanging in the bathroom of her in-laws’ house. Father believes she was murdered,"Domestic violence, murder/suicide",,Female,,,,,https://www.dawn.com/news/1599891/woman-found-hanging,,,
"4th January, 2021",Kohat,KP,A man was arrested for allegedly molesting his teenage daughter for four years and subjecting her to torture.,"Child abuse, sexual assault",14,Female,,,,,https://www.dawn.com/news/1599740/man-arrested-for-molesting-daughter-in-kohat,,,
"5th January, 2021",Rawalpindi,Punjab,"Woman, daughter found murdered in home",Murder,1,Female,Female,,,,https://www.dawn.com/news/1600157/woman-daughter-found-dead-in-home,,,
"5th January, 2021",Charsadda,KP,A 10-year-old girl was raped by her brother-in-law,"Child abuse, rape",10,Female,,,,,https://tribune.com.pk/story/2279138/10-year-old-girl-raped-in-charsadda,,,
"5th January, 2021",Charsadda,KP,"Suspect kills teenage boy in name of honour, for an alleged affair with his niece","Honour killing, murder (reported Jan 17, 2021)",17,Male,,,,,https://tribune.com.pk/story/2280245/honour-continues-to-claim-lives-in-k-p,,,
