Application Name||Description||Publisher||Version||Last Update||Installs||Android Compatability||Category||Functions||Audience||Useability Status||Playstore Rating||Playstore URL
Kamyab Jawan||"The Kamyab Jawan Program is launched by Prime Minister Imran Khan for the socio-economic empowerment of youth on the national level. It is an unemployment substitute offering all-inclusive, innovative, and entrepreneurial opportunities to the youth. It envisions the youth of Pakistan to Focus on their plan for business ventures by facilitating them through guarantee-free government loans with a reduction of Mark up to 3% from 6%.
Youth enrolled with Kamyab Jawan Program will be able to apply for easy loans for their businesses. Regardless of any cultural disparity, this program aims to offer monetary assistance to the youth of Pakistan with Diverse backgrounds and cultural identities on the federal and provincial levels."||National IT Board, Government Of Pakistan||2.3||10/28/2021||Playstore: 100,000+||Android 4.4+||Commerce, Microfinance||Loan provision||General||Likely useable. Many reveiws point out issues with the form and application process||3.9/5 (1405)||https://play.google.com/store/apps/details?id=com.nitb.gov.kamyabnojawan
Karkardagi||Application designed and developed for front line worker of Govt. of Punjab to showcase and highlight their performance.||Punjab IT Board||1.4.0||8/17/2017||100+||2.3 and up||Spec Service||Unclear||Govt of Punjab Employees||Unclear, though every reveiw appears to be negative||2/5 (303)||https://play.google.com/store/apps/details?id=com.PITB.kpinspection&hl=en&gl=US
Khidmat@Dehleez||"General Public and Government departments will work together hand in hand to being change in Punjab Province. Citizen’s of Punjab will identify the area that needs quick attention from Government departments, and Government officials will respond to their issues/suggestions. All of this will be recorded via a real time monitoring system. This will improve the service delivery. Special campaigns are designed to bring visible change in the province.
The app users will be notified as soon as their complaint/suggestions has been taken care off by a government official. The citizen can quickly rate the action taken as a positive or negative marking. The data gathered via this app will further be analyzed by the Government agencies to take data driven decisions."||Punjab IT Board||1.0.11||15/06/2021||100,000+||4.1 and up||Governance, Accountability||Complaint Management||General||Useable. ||3.4/5 (521)||https://play.google.com/store/apps/details?id=khidmat.dehleez.app&hl=en&gl=US
Labbaik Bhakkar||This app is complaint management system for Citizens to file complaints against district Bhakkar Government employees||Punjab IT Board||1.3||30/05/2018||1,000+||4.2 and up||Governance, Accountability||Complaint Portal||General||Useable||4.3/5 (23)||https://play.google.com/store/apps/details?id=com.pitb.cms&hl=en&gl=US
Lahore High Court||The official application of the Lahore High Court can be used by advocates and litigants to get real time notification on the fixation of their cases. The app also hosts a bunch of other functionalities for the average citizen to view the latest cause lists, rosters and case searching.||Punjab IT Board||5.6||31/10/2020||10,000+||4.3 and up||Law, Spec Service||Unclear||Advocates, Litigants||Useable||4.3/5 (489)||https://play.google.com/store/apps/details?id=pk.gov.pitb.lhccasemanagement&hl=en&gl=US
LND Official||"LND Official is a tablet based application developed by PITB for MEA officers only. This application is used by MEA officials to take simple tests to assist students of lower primary class. The corresponding web dashboard gives complete picture of how the student performed.

For public LND Public application is available on play store on following link : https://play.google.com/store/apps/details?id=pitb.lnd.publicapp&hl=en"||Punjab IT Board||4.2.1||13/09/2019||50,000+||4.1 and up||Spec Serivce, Education||Unclear||MEA Officers||Unclear.||3.4/5 (396)||https://play.google.com/store/apps/details?id=pitb.lnd&hl=en&gl=US
LND Public||LND Public is a android based application developed by PITB for public. This application is used to take simple tests to asses students of lower primary class.||Punjab IT Board||4.1||2/10/2017||1,000,000+||4.0 and up||Education||Online Tests||General||Unclear||3.2/5 (1138)||https://play.google.com/store/apps/details?id=pitb.lnd.publicapp&hl=en&gl=US
Mandi App||An initiative of Punjab Information Technology Board (PITB) in collaboration with Marketing wing of Punjab Agriculture Department to digitise the market committee operations. An exclusive app to help Government in digitizing end to end supply chain. As a part of initiative the app will digitally record the arrivals, auctions and recoveries that were earlier recorded manually.||Punjab IT Board||1.8||4/3/2021||5,000+||4.1 and up||Commerce, Spec Userbase||Digitizing Records||General||Likely Useable||3/5 (36)||https://play.google.com/store/apps/details?id=com.pitb.agriculture_mandi&hl=en&gl=US
MEA SAAF PUNJAB||Through 3rd party validation, measuring of cleanliness of most populated cities of Punjab through regular solid waste collection and making these cities sustainable clean & green is faster & easier than ever.Features in MEA SAAF PUNJAB application includes;· Duty rosters for Monitoring & Evaluation Assistants (MEAs) for work & route planning· Zone wise randomization of facilities· Rate any Point of Interest (POI) or facility as per given criteria· Conduct citizen surveys· Highlight any anomaly or issue regarding Solid Waste Collection in unassigned areas· Take photos as evidenceApplication can only be used if mobile’s IMEI is registered.||Punjab IT Board||4||5/6/2020||1,000+||4.0 and up||Municipial Services||Citizen Survey||General||Likely Useable||4.4/5 (34)||https://play.google.com/store/apps/details?id=pk.gov.pitb.measaafpunjab&hl=en&gl=US&showAllReviews=true
Motorway Humsafar||"Motorway Humsafar is an application for assistance that will enable users to request for real time help as well as acquire instant information on road advisory.
Aiming to help you prepare for and undertake a safe journey – National Highways & Motorway Police."||Punjab IT Board||1.1.1||19/02/2021||10,000+||4.1 and up||Transport/Railway||Helpline||General||Usable ||3.7/5 (120)||https://play.google.com/store/apps/details?id=pk.pitb.gov.motorwayhumsafar&hl=en&gl=US
NADRA App||"NADRA introduces its new and improved mobile application with following key services:
· Locates the nearest NADRA’s office/center and displays its complete details including address, operating hours, center type(ordinary/executive);

The application offers following features:
· Carries out Search of NADRA’s office through City, Name or Location
· Provides Driving directions to NADRA’s office location
· Makes instant call to the selected NADRA’s office
· Notes postal address of the NADRA’s office location
· Notes NADRA’s center operating hours
· Sends email containing NADRA’s office details
· Sends SMS message containing NADRA’s office location details"||National Database & Registration Authority||0.1.23||9/9/2020||1,000,000+||4.0 and up||General||Unclear||General||Useable||3/5 (3381)||https://play.google.com/store/apps/details?id=pk.gov.nadra.nrclocator.android&hl=en&gl=US
NHMP Ticketing System||A National highway & Motorway Police Project for online system of ticketing.||Punjab IT Board||5.0.1||28/08/2020||5,000+||4.0 and up||Transport/Railway||Online Ticketing||General||Largely useable||4.3/5 (83)||https://play.google.com/store/apps/details?id=pk.gov.pitb.nhmp.ticketingsystem&hl=en&gl=US
NICH||The application’s aim is to facilitate field staff in capturing bio data of children as well as in recording samples for screening by National Institute of Child Health. The activities are recorded with coordinates and time stamped pictures.||Punjab IT Board||1.0.22||14/02/2020||100+||4.0 and up||Health||Data collection, Biodata, Samples||General||Unclear||N/a||https://play.google.com/store/apps/details?id=com.PITB.BabiesScreeningSystem&hl=en&gl=US
Nigeria Hajj Guide||Nigeria Hajj Guide is an App with easy-to-follow instructions for any Muslim intending to perform Hajj. We have tried our best to provide information in accordance with Quran and Sunnah. It is available in two languages||Punjab IT Board||1||8/10/2017||100+||2.3 and up||Hajj||Information Provision||General||Useable||N/a||https://play.google.com/store/apps/details?id=app.pitb.gov.nigeriahajjguide&hl=en_US&gl=US
NPRP (National Patient Referral Program)||An initiative of Government of Punjab, Pakistan - An integrated solution for doctors and healthcare facilities to refer patients from and within facilities for specialized and advance treatments||Punjab IT Board||1.0.9||11/7/2019||100+||4.1 and up||Health, Spec Service||Unclear||Doctors, Healthcare facilities||Unclear||N/a||https://play.google.com/store/apps/details?id=com.pitb.refs&hl=en&gl=US
Pak Konnect||"Government of Pakistan, in strive for efficient government functioning, is intending to provide an easy and efficient mode of communication through a mobile application. This application is for the Ministry of Foreign Affairs (MOFA) employees for instant messaging, idea sharing and matter escalation to Honorable Minister of Foreign Affairs.

This application is branded as “PAK Konnect”. Users will request for registration and once approved, they will be able to use this application for their correspondence with the concerned office."||National Database & Registration Authority||1.0.2||27/02/2020||1,000+||4.1 and up||Spec Service||Unclear||MOFA employees||Unclear||3.7/5 (11)||https://play.google.com/store/apps/details?id=pk.gov.nadra.pak.konnect&hl=en&gl=US
Pak Neghayban||"“Pak Neghayban” is a government mobile application aiming to restrict the damage during the emergency situations and collect details about corona patients amid COVID-19 Pandemic. It is a joint collaboration of the National Command and Operation Center (NCOC) and the National Information Technology Board (NITB).
The app is developed for two types of users: Citizens and Health Officers.
Citizens and easily view availability of beds and ventilators in Covid-19 facilitation provided defined hospitals and laboratories all over Pakistan.
Health inspector have access to login into the app and supplement Covid-19 patient."||National IT Board, Government Of Pakistan||1.0.7||28/11/2020||1,000+||5.0 and up||COVID||Real Time Information Provision, Real Time Data Collection, Crisis Management||General + Health Officers||Useable ||4.2/5 (6)||https://play.google.com/store/apps/details?id=com.govpk.paknigehbaan&hl=en&gl=US
PakHajj Guide||Comprehensive guide for the people going to perform hajj||Punjab IT Board||2.4||15/08/2017||100+||2.3 and up||Hajj||Information Provision||General||Useable||4/5 (21)||https://play.google.com/store/apps/details?id=app.pitb.gov.hajjguide&hl=en&gl=US
Pakistan Citizen Portal||Pakistan Citizen Portal is an integrated citizens grievance redressal system connecting all government organizations both at federal and provincial levels. The system will serve as carrier of complaints to their respective offices across all over Pakistan. Eventually, the citizen feedback will be linked to an officer’s performance and promotion. The App will serve as complementary channel between citizen and government.||National IT Board, Government Of Pakistan||3.1.9 ||21/05/2021||Playstore: 1,000,000+||Android 4.1+||General||Information Provision, Online Registration, all-encompassing||General||Useable. Very functional.||3.7/5 (110,506)||https://play.google.com/store/apps/details?id=com.govpk.citizensportal&hl=en&gl=US
Pakistan Railways Official||"We’re truly dedicated to make our services as simple as fun for our valued customers and profitable for our country Pakistan. Install ""Pakistan Railways"" android app and be a part of journey because we are always moving 24/7. Now anyone with Android phone can easily book a railway ticket anywhere in Pakistan within 3 minutes. Don't forget to watch our video tutorial as a user guide for this app. Thanks1. One Step Login To Existing Website Users 2. Search & Book Train Tickets 3. View & Book Seats From Intelligent Seat Plan4. Pay via Credit/Debit Card 5. Pay via UBL Omini Shops6. Pay via Mobile Account"||PR I.T. Directorate||5.6||15/03/2021||1,000,000+||4.1 and up||Transport/Railway||ONline Booking||General||Useable.||4.3 (39,001)||https://play.google.com/store/apps/details?id=pk.gov.railways&hl=en&gl=US
Panah Gah||The app is developed for social welfare department to monitor Panagah’s on different parameters, including facilities, cleanliness and food provided. This will help in reporting Panagah’s which are non-compliant, take actions and improve facilities.||Punjab IT Board||1.2.1||18/02/2021||100+||4.3 and up||Welfare||Unclear||General||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.panahgah&hl=en&gl=US
Pass Track||National Information Technology Board is the Technology Partner for the Pass Track App. The application has been developed under the banner of Ministry of Information Technology & Telecom, Ministry of Health and National Command and Control Center for record keeping of the travelers coming over to Islamic Republic of Pakistan in the time Covid-19 Pandemic. The travelers coming over has to submit/ Upload their PCR report and other information as required by the application which compliance to the state Policy for travelers coming over to the Islamic Republic of Pakistan in Covid-19 Pandemic. This application has been declared as a must to have before taking a Flight to Islamic Republic of Pakistan, as advised by the Government of Pakistan Health Care Policy for Covid-19.||National IT Board, Government Of Pakistan||2.0.1 ||17/06/2021||Playstore: 500,000+||Android 4.4+||COVID, Tourism||Travel Assistance||General||Usable ||3.8/5 (1570)||https://play.google.com/store/apps/details?id=com.passtrack.nitb.gov.pk&hl=en&gl=US
Pehchaan – Criminal Record Check||"Purpose of Pehchaan is to facilitate public to search or find the criminal record or background of any person they are dealing with e.g. employee verification, marriage or business dealing etc.


Punjab Police and PSCA have launched this application to provide public an easy access to the criminal background record of any person through CNIC. It will help you verify background of a person by checking if an FIR has been registered against them. People can find/search/check the criminal background of a person through CNIC only.


After installing this application, you will have to signup first to check the criminal record of a person.


If the person being verified is a criminal and any FIR has been registered against them, the record will show you the details of that person, which includes the photo of that criminal and the Police station name where FIR has been registered against him/her.

Otherwise it will show you a message that “No Criminal Record Found”.

The results provided in Pehchan app are based initially on CNIC of Lahore district. However, the background records being provided are only to the extent of CNIC. It is possible that record of a particular individual may exist without CNIC for which Punjab Safe Cities Authority and Punjab police takes no responsibility. This facility is just first step in providing public information regarding criminal record of an individual. It has no legal value."||Punjab Safe Cities Authority||1.6.0||24/11/2020||50,000+||4.1 and up||Policing||Information Provision, Criminal Records||General||Usable ||3.2 (494)||https://play.google.com/store/apps/details?id=org.psca.pechaanusers&hl=en&gl=US
Pehchaan Balochistan App – Check criminal record||"The purpose of this app is to facilitate the public of Balochistan to search and find the criminal background of any person they want to deal with e.g. any employee, business dealing, marriage purpose, house helper, etc.

PSCA and Balochistan Police have launched this application to provide easy access to any criminal background to the public. Users can check the criminal record through the CNIC number. It will help users make a criminal background check on any person through their CNIC only.

After installing the application, you will have to register first to use this app.

If the person being verified is a criminal and an FIR has been registered against them, the record will show you the details, whether FIR has been registered against him/her.

Otherwise, it will show you a message that “No Criminal Record Found”.

The results provided in the Pehchaan app are based initially on the CNIC of Balochistan. However, the background records being provided are only to the extent of CNIC. It is possible that the record of a particular individual may exist without CNIC for which Punjab Safe Cities Authority and Balochistan Police take no responsibility. This facility is just the first step in providing public information regarding the criminal record of an individual. It has no legal value."||Punjab Safe Cities Authority||1.4||19/04/2021||100+||4.4 and up||Policing||Information Provision, Criminal Records||General||Usable ||N/a||https://play.google.com/store/apps/details?id=org.psca.pehchaanbalochistan&hl=en
PESSI Benefits||In line with PESSI's vision to provide ease of service to its registered employees, PESSI Benefits App is a tool designed for hassle free benefits application. Through this app the workers can apply cash benefits from anywhere and anytime for fast-track processing of their applications.||Punjab IT Board||1.0.5||22/06/2021||100+||5.0 and up||Microfinance||Unclear||General||Unclear||N/a||https://play.google.com/store/apps/details?id=com.pk.pitb.gov.pessi.benefits&hl=en&gl=US
PHED||"In order to perform regular monitoring of water supply sources and filtration plants of all Govt. departments effectively, Punjab Information Technology Board (PITB) introduced an application for water sources monitoring named “PHED”. The PHED application initiative has been taken to create a digital data base of:
• Water Supply Schemes and filtration Plants Monitoring
• Information about water sources Functionality status
• Information about water sources Infrastructure status
• Information about water sources Cleanliness and water treatment status
• Information about water sources Electricity status
• Information about water Quality of functional sources

This digitization of water facilities monitoring data will enable the implementation of long-term strategies to increase availability of clean water in overall Punjab. The whole idea has been designed to facilitate Govt. departments (PHED, LG&CDD & WASAs) and consequently improve productivity whereas the database of the reported activities shall be used to plan more effective water sector interventions.
Scope:
This application is covering full scope of the Regular Water quality monitoring of water supply sources and filtration plants. Keeping in view the needs of gathering information about water sources monitoring, HR module, User feedback, functionality, infrastructure, cleanliness & water treatment, electricity status and water quality of functional sources, application is made to cover all these activities, Moreover this application is first ever to have monitoring checks on water supply sources and filtration plants on regular basis."||Punjab IT Board||1.1.0||24/05/2021||10+||5.0 and up||Municipial Services, Spec Service||Unclear||Public Health Engineering Department||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.phed&hl=en&gl=US
PITB Employee Self Service||Application for all PITB employees which will provide basic services like mark attendance, profile update, leave request, letter request & their approval by manager and admin. PITB creates account for each employee when user joins the organisation. This application is developed for internal use of our own company but in future, it will be distributed to the multiple departments of the Govt. of Punjab.||Punjab IT Board||1.2.0||9/4/2021||1,000+||4.1 and up||Spec Service||Unclear||PITB Employees||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.pitb.gov.pitbemployee&hl=en&gl=US
PMIU School Monitoring||PMIU School Monitoring is a tablet based monthly monitoring performa for PMIU developed by PITB. This is used by MEA staff to evaluate schools based on different performance points.||Punjab IT Board||6.2||3/11/2019||10,000+||4.0 and up||Education, Spec Service||Unclear||MEA Staff||Usable ||4.1/5 (127)||https://play.google.com/store/apps/details?id=com.pmiuapplication&hl=en&gl=US
Price Magistrate||To enable Punjab Pakistan district magistrates to address complaints||Punjab IT Board||3.9.2.9||29/04/2021||10,000+||4.2 and up||Commerce, Spec Service||Complaint Management||District Magistrates||Usable ||3.6/5 (76)||https://play.google.com/store/apps/details?id=com.pitb.pricemagistrate&hl=en&gl=US
Prison Department Complaint Management System||"Prisons Complaint app is an integrated public distress redressal application connecting all prisons across Punjab for timely resolution of shortcomings faced by general public.
This application will work as a correspondence medium between General Public and Prisons"||Punjab IT Board||1||21/08/2020||500+||5.0 and up||Policing, Spec Audience||Unclear||General||Unclear||N/a||https://play.google.com/store/apps/details?id=org.projects.inspectorate.pmis.cms&hl=en&gl=US
Project Management System||"“PMS APP” is purely employee attendance application. The official serviceability and technology owner is National Information Technology Board (NITB). The app is officially developed, designed, and managed by the National Information Technology Board (NITB), commissioned by the Ministry of Information technology & Telecom (MoITT).

PMS Application offers instant & easy-way to record attendance while using smart-phone, maintains inventory and entire detail of daily schedule. . Users can export the data as well.

Features:

• Easy to use.
• Records attendance with single tap (Punch-in & Punch-out).
• Inventory (Vehicle request for out of office meetings)
• Daily Meeting Schedule.
• Generate Attendance Report (weekly, monthly, yearly basis)
• Export and share attendance report can also be done."||National IT Board, Government Of Pakistan||1.3.08||4/13/2021||Playstore: 100+ ||Android 5.0+||Govt||Attendance ||General||Unclear||5/5 (5)||https://play.google.com/store/apps/details?id=in.softecks.projectmanagement&hl=en&gl=US
PSCA - Public Safety||"Punjab Safe Cities Authority will register all users of the this app as verified users and this will help PSCA in providing quick and ensured response at the precise location.
Live Traffic congestion updates for fastest travel route planning.

By pressing the panic button, you can contact the 15 services of Punjab Safe Cities Authority instantly and receive immediate help at your precise location.

About PSCA
The Punjab Safe Cities Authority (PSCA), established under the Punjab Safe Cities Ordinance 2015, will ensure establishment, development and maintenance of an integrated command, control and communication system (PPIC3) for Police in major cities of the province for public safety. The Safe City is a concept for returning security and quality of life to today’s complex cities through the use of technology, infrastructure, personnel and processes.

In order to realize the vision of developing safe cities in the province, PPIC3 Centre has been developed for Punjab Police in the city of Lahore, which will be subsequently established in the larger cities of the province.

Recently, PSCA has identified 2000 locations for installing more than 10,000 cameras for surveillance through a comprehensive survey. That includes the coverage of public institutions, key infrastructure, public roads, crime hotspots, VVIP routes, entry & exit points and public places."||Punjab Safe Cities Authority||4.4||4/2/2020||50,000+||5.0 and up||Policing||Real Time Information Provision, Helpline||General||Usable ||4/5 (293)||https://play.google.com/store/apps/details?id=com.psca.ppic3.publicsafety&hl=en&gl=US
Punjab Anti Dengue||Its an app for tracking activities related to dengue. User can perform different dengue activities you can create new activities, save activities and update existing activities.||Punjab IT Board||8.4||21/10/2020||100,000+||4.0 and up||Health||Unclear||General||Largely Unusable ||1.5/5 (5337)||https://play.google.com/store/apps/details?id=dengue.tracking.system&hl=en&gl=US
Punjab Hospital Feedback||Punjab Hospital Feedback is a tablet based monitoring performa for Punjab Hospital developed by PITB.||Punjab IT Board||1.0.6||8/6/2018||1,000+||4.0 and up||Health||Unclear||General||Largely Unusable ||2.2/5 (49)||https://play.google.com/store/apps/details?id=com.PITB.citizenfeedback.viewControllers&hl=en_US&gl=US
Punjab Police - Women Safety App||"Women safety application is a new initiative of Punjab Police for the safety of women, which is a high priority objective of Punjab Police.
This app has been launched by the Punjab Police and powered by IT infrastructure of Punjab Safe Cities Authority (PSCA). Women Safety App by PSCA to contact Punjab Police, incase of emergency."||Punjab Safe Cities Authority||4.1||25/03/2021||10,000+||4.3 and up||Inclusivity/Policing||Information Provision, Live Helpline||General||Usable ||4.7/5 (177)||https://play.google.com/store/apps/details?id=com.psca.ppic3.womensafety&hl=en&gl=US
Punjab Police Khidmat (Service) App||"This application provides detailed information (fees, office locations, required documents, online booking etc.) about 14 services offered by Punjab Police to the citizens at Police Khidmat Markaz (offices) recently established across Punjab. Application includes following features:

1. List of 14 services with all details
2. Online Booking Facility
3. Application Tracking
4. Document Verification (Checking Authenticity of the documents issued)
5. Punjab wide Center/Office Locations, timings and contact info.

The services being provided at all Police Khidmat Marakiz are:

1. Character Certificate
2. General Police Verification
3. Learner Driving License
4. Driving License Renewal
5. International Driving License
6. Duplicate Driving License
7. Endorsement of a License
8. Employee Registration
9. Tenants Registration
10. Vehicle Verification
11. Loss Report
12. Crime Report
13. Women Violence Report
14. Copy of FIR"||Punjab IT Board||2.4||8/6/2020||100,000+||4.0.3 and up||Policing||Information Provision, Document Verification, Online Applications||General||Usable ||3.8/5 (376)||https://play.google.com/store/apps/details?id=com.pitb.policekhidmatmarkaz&hl=en&gl=US
Punjab Tourism||"This application helps you to plan your perfect tourism without even missing a single tourism site in Punjab, Pakistan. You must visit Punjab to enjoy Culture, Ancient Civilization, Spirituality and History. This application covers all the must visit tourism sites in Punjab along their description and history.
Features
• Covers all the Tourism Cites in Punjab, Pakistan
• Things to do, Available Facilities, History & Description of sites are available in app
• Show sites on the map for convenience
• Selection of sites on the basis of your interest like Historical sites, Agricultural sites & Religious sites etc."||Punjab IT Board||2.6||5/5/2021||100,000+||4.1 and up||Tourism||Information Provision||General||Usagle||4.3/5 (402)||https://play.google.com/store/apps/details?id=com.pitb.gov.tdcptourism&hl=en&gl=US
Punjab Wifi||Punjab Wifi application intended to help user to know the location of free hotspot near by. Free hotspot devices are installed by Punjab government in different cities. Our aim is to empower you through technology and bridge digital divide by providing easy and reliable access of internet.||Punjab IT Board||4||1/7/2017||100,000+||3.0 and up||Municipial Services||Service Locator||General||Largely Unusable -The reviews point out that the location services are faulty.||4.2/5 (491)||https://play.google.com/store/apps/details?id=pitb.gov.punjab.wifi&hl=en&gl=US
Qeemat Punjab||Qeemat Punjab developed for the general public to get awareness regarding the daily price of Fruits & Vegetables and essential commodities which was decided by the DCs. If user found any discrepancy i the prices and daily rates may launch complaint online through the app. App will route the complaint to concerned Price Control Magistrates as the market and shop will be Geo-Tagged will the complaint Lodged and user will notified when the complaint resolve in the given time. All Activities regarding Complaints directly Monitored by the Concerned Departments for smooth service Delivery and create the bridge Between User and Department.||Punjab IT Board||3.7.5||5/5/2021||100,000+||4.2 and up||Commerce||Information Provision, Complaint Management||General||Usable ||4.1/5 (5403)||https://play.google.com/store/apps/details?id=com.pitb.qeematpunjab&hl=en&gl=US
Railways Monitoring||A mobile application developed for Pakistan Railways. This application is useful for AEN/DEN, IOW/AIOW for the field verification of each property. The application is linked with main database. The application is showing the user location through GPS and user can identify the surrounding parcels through geographic features along with the attributes information with pictorial evidence. User can verify the surveyed records||PR I.T. Directorate||9||28/10/2020||5,000+||4.4 and up||Transport/Railway||Unclear||Railway Officials||Unclear||3.7/5 (59)||https://play.google.com/store/apps/details?id=com.railways.railwaysmonitoring&hl=en&gl=US
Rasta||"The Punjab Information Technology Board (PITB) has developed a smartphone application titled “Rasta” in collaboration with City Traffic Police, Lahore to provide smart solutions to general public’s traffic related problems and queries.

This application will facilitate the citizens in various domains such as applying for license, paying challans, and planning driving routes. The app will also generate timely traffic alerts for citizens to ensure hassle-free driving. “Traffic Updates” another feature will allow the users to gain prior information on the intended traffic routes. With the help of Google Maps traffic updates, the source and destination points will guide users to avoid traffic congestion."||Punjab IT Board||3.2.8||27/08/2020||100,000+||4.1 and up||Transport/Railway||Real Time Information Provision||General||Largely usable ||3.9/5 (2159)||https://play.google.com/store/apps/details?hl=en&id=com.pitb.rasta
Rawalpindi Police||"‘Rawalpindi Police Citizen Connect’ is an app designed by Rawalpindi Police for the facilitation of the citizens of Rawalpindi.

* Emergency 15 – The Emergency 15 phone call is connected to 15 Control Room in Lahore, however the REAL TIME LOCATION of the distress caller is sent directly to the CPO Rawalpindi Control Room in Rawalpindi so that Police can reach the location without wasting time on trying to ascertain the location of the distress caller.
* Appointment – Appointment for Traffic Licensing Office, any Khidmat Markaz, Khuli Kachehri of CPO Rawalpindi, meet any Police Officer (from Station House Officer to City Police Officer Rawalpindi) can be scheduled.
* VIP Youth Internship – Students can apply for internship through the Volunteer In Police (VIP) Youth Internship Programme. Upon successful completion of the internship students will the given certificates for the same.
* Call CPO RWP – 92-51-111-CPO-RWP (276-797) is the newly established Call Centre of Rawalpindi Police. By calling on 92-51-111-CPO-RWP (276-797) users can talk to any Police Officer of Rawalpindi Police (from Station House Officer to City Police Officer Rawalpindi). Status of their complaints can also be checked through this feature. 111-CPO-RWP (276-797) is also being used to obtain valuable feedback of citizens who visit the Police Station, Police Khidmat Markaz or Traffic Office for various services, vis-a-vis behaviour of the dealing staff, convenience of procedure, complaints of corruption / undue influence.
* Child Abuse – Incidents or suspected incidents of Child Abuse can be reported through this feature. Users can upload a photo, video or even an audio recording of the child that has been, is facing or is at risk of being abused. Children can be protected from abuse through this feature.
* Nearest Police Station – Nearest Police Station on the Map & the contact details of each Police Station can be viewed.
* Crime Reporting – Citizens can report a missing child, person or animal/pet and an alert will be sent to all Rawalpindi Police Citizens Connect app users to raise awareness & so that the app users can also help in the search. Furthermore, major crimes can be reported through this app and users can also report incidents of Road Traffic Accidents, One Wheeling, Aerial Firing, Fireworks, Explosion, Kite Flying, Scuffle etc. Users can also upload Photos, Videos & Audio Recordings of any incident or crime.
* Traffic Services – Users can schedule an appointment for Driving License Services, verify their Driving License, track the delivery of their Driving License, plan their route to their destination, view traffic congestion on the city roads, get information on various traffic violations / offences.
* Advisory – Database of Se**** Offenders, Crime and Law & Order Advisory, crime pockets / hot spots and Traffic Advisory is available through this feature.
* News – Latest news of Police, Crime & Traffic related issues is available on this app
* Media – All social media accounts of City Police Rawalpindi & City Traffic Police Rawalpindi can be accessed through the app.
* IGP Complaint - A complaint against Rawalpindi Police can be lodged to the office Inspector General of Police (IGP), Punjab province; additionally any previous complaint made to the office of IGP Punjab can also be tracked through this feature.
* PM & CM Portals – The app also gives a pathway to users to access the PM & CM Punjab Portals to register any complaint against Rawalpindi Police"||CTP RWP||2.2||8/2/2021||10,000+||7.0 and up||Policing||Information Provision, Helpline, Service Locator, Complaint Management||General||Usable ||4.4/5 (111)||https://play.google.com/store/apps/details?id=com.bytedesk.rawalpindipolice&hl=en&gl=US
Rehbar||"Punjab Government has taken a range of measures to fight the onslaught of Coronavirus including the deployment of innovative tools to arm its citizens in the war against Corona.
Designed by Punjab IT Board (PITB), Rehbar is Punjab's first voice chatbot created to help the 100 million citizens of Punjab in getting updated information about different government departments and services. It will initially only respond to Corona related queries but will grow and mature with time to answer all the common queries about different government departments and services.

Rehbar listens to you and can speak and respond to your queries. It can guide you in the right direction, save you precious time and resources. Rehbar does not tire or get bored. It is completely devoted to you.

Rehbar is easy to use and the users can get information by simply talking to it. Rehbar uses the latest language technologies to understand your speech and can respond in the Urdu Language. Rehbar will soon be context-aware and will give you the most relevant information.

We envisage a future where Rehbar will be helping the citizens with authentic information and suggestions during all kinds of calamities and emergencies in addition to routine services"||Punjab IT Board||Varies with device||21/05/2020||100,000+||Varies with device||COVID||Voice-enabled chat bot||General||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.pitb.gov.rahbar&hl=en&gl=US
SAAF PUNJAB IRIS APPLICATION||Saaf Punjab IRIS is a mobile based monitoring performa for Waste Management Companies developed by PITB. This is used by WMC to evaluate daily attendance of supervisors and workers using their IRIS data.||Punjab IT Board||1.7||19/06/2020||1,000+||4.1 and up||Spec Service||Unclear||WMC employees||Unclear||4/5 (19)||https://play.google.com/store/apps/details?id=pk.gov.pitb.saafpunjab.iris&hl=en&gl=US
Sarkar Sialkot||Sarkar Sialkot||Punjab IT Board||1.0.1||1/4/2019||1,000+||4.2 and up||General||Unclear||General||Unclear||3.1/5 (25)||https://play.google.com/store/apps/details?id=com.pitb.salamsialkot&hl=en&gl=US
School Education Reforms||An application to resolve problems regarding schools.||Punjab IT Board||1||14/10/2017||10,000+||4.0.3 and up||Education||Unclear||General||Unclear||2.8/5 (81)||https://play.google.com/store/apps/details?id=pk.gov.pitb.schooleducationresolver&hl=en&gl=US
School Owner App||"Punjab IT Board in collaboration with the School Education Department has developed a central online registration system which provides an electronic license mechanism for school owners to register their respective schools.
This application allows users to sign in using their PEPRIS credentials and provides them with the functionality to mark the location of their schools using a smartphones touch capabilities. This app permits the user to conveniently indicate the location of their schools by simply tapping on the screen."||Punjab IT Board||1.0.0||31/12/2020||5,000+||5.0 and up||Education||Unclear||School Owners||Uncleaer||3.6/5 (35)||https://play.google.com/store/apps/details?id=pk.pitb.gov.pepris&hl=en&gl=US
